AICTE ID,NAME,PROGRAMME,UNIVERSITY,LEVEL OF COURSE,COURSE,INTAKE,ADDRESS,ZONE,CITY,DISTRICT,STATE,INSTITUTE TYPE,,
1-36455627004,NOVA PG COLLEGE(MBA),MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,240,T.V.RELAY STATION ROAD JUPUDI VILLAGE IBRAHIMPATNAM MANDAL KRISHNA DISTRICT ANDHRA PRADESH PIN:521456,COASTAL ANDHRA,JUPUDI,KRISHNA,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36951082683,KSRM COLLEGE OF MANAGEMENT STUDIES,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,240,YERRAMASUPALLI VILLAGE C.K. DINNE MANDAL CUDDAPAH - 516003 ANDHRA PRADESH,RAYALASEEMA,CUDDAPAH,YSR DISTRICT,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36456143743,DVR&DR.HS MIC COLLEGE OF TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,60,DVR & DR HS MIC COLLEGE OF TECHNOLOGY KANCHIKACHERLA-521 180 KRISHNA DISTRICT ANDHA PRADESH,COASTAL ANDHRA,KANCHIKACHERLA,KRISHNA,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36951142957,SAI RAJESWARI INSTITUTE OF TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA(GENERAL MANAGEMENT),60,"BALAJI NAGAR, TALLAMAPURAM ROAD",RAYALASEEMA,BALAJI NAGAR,YSR DISTRICT,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36456356460,SRI SAI COLLEGE OF IT & MANAGEMENT,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,240,BUDDAYAPALL KADAPA,RAYALASEEMA,KADAPA,YSR DISTRICT,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36951664182,PRABHAT INSTITUTE OF COMPUTER SCIENCE,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,120,"PARNAPALLI,NANDYAL.KURNOOL(DT),A.P",RAYALASEEMA,NANDYAL,KURNOOL,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36457363841,DNR COLLEGE,MANAGEMENT,"ADIKAVI NANNAYA UNIVERSITY, RAJAHMUNDRY",POST GRADUATE,MBA,120,"SECRETARY & CORRESPONDENT, DNR COLLEGE ASSOCIATION, BALUSUMUDI, BHIMAVARAM-534202, WEST GODAVARI DISTRICT, ANDHRA PRADESH",COASTAL ANDHRA,BHIMAVARAM,WEST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36952132788,SRI VENKATESA PERUMAL COLLEGE OF ENGINEERING & TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,180,"CHINNARAJA KUPPAM, KN ROAD, PUTTUR ? 517 583, CHITTOOR (DT), A.P.",RAYALASEEMA,PUTTUR,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36458385733,S.V.ARTS & SCIENCE COLLEGE,MANAGEMENT,"VIKRAM SIMHAPURI UNIVERSITY, NELLORE",POST GRADUATE,MBA,168,"DIVIPALEM VILLAGE, WEST GUDUR, GUDUR - 524102, SPSR NELLORE DIST.",COASTAL ANDHRA,GUDUR,NELLORE,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36958971979,MJR INSTITUTE OF BUSINESS MANAGEMENT,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,180,DIGUVAPOKULAVARIPALLI PULICHERLA CHITTOOR,RAYALASEEMA,PULICHERLA,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
